meeting_id,event_title,age_group,chip_time,gun_time,name,position,race_title,sex,terrain,race_date,race_location,uniqueID
195038,Raceways Spring Shakespeare Marathon,49,49,49,49,49,49,49,49,49,49,49
195886,Gloucester City Marathon,566,566,566,566,566,566,566,566,566,566,566
,,,,,,,,,,,,
196577,Great Welsh Marathon,123,123,123,123,123,123,123,123,123,123,123
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
201116,Rotary Shakespeare Marathon,616,616,616,616,616,616,616,616,616,616,616
,,,,,,,,,,,,
201179,Hereford Running Festival Marathon,47,47,47,47,47,47,47,47,47,47,47
201208,Starfish Bexhill Marathon,57,57,57,57,57,57,57,57,57,57,57
201878,Worcester Marathon,219,219,219,219,219,219,219,219,219,219,219
201879,Exeter Marathon,310,310,310,310,310,310,310,310,310,310,310
,,,,,,,,,,,,
202722,Kent Circuit Marathon,259,259,259,259,259,259,259,259,259,259,259
202730,Flying Fox Marathon,83,83,83,83,83,83,83,83,83,83,83
,,,,,,,,,,,,
207302,Newry City Marathon,189,189,189,189,189,189,189,189,189,189,189
208776,Killian Doherty Memorial Run Marathon,42,42,42,42,42,42,42,42,42,42,42
209039,St Magnus Marathon,63,63,63,63,63,63,63,63,63,63,63
211347,Twilight Marathon,19,19,19,19,19,19,19,19,19,19,19
211396,IOM Marathon,65,65,65,65,65,65,65,65,65,65,65
212115,Guernsey Marathon,124,124,124,124,124,124,124,124,124,124,124
216811,Standard Chartered Jersey Marathon,402,402,402,402,402,402,402,402,402,402,402
,,,,,,,,,,,,
,,,,,,,,,,,,
217611,Isle of Wight Marathon,139,139,139,139,139,139,139,139,139,139,139
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
220343,Maidstone Marathon,78,78,78,78,78,78,78,78,78,78,78
220407,Run Scotland Loch Rannoch Marathon,163,163,163,163,163,163,163,163,163,163,163
,,,,,,,,,,,,
220937,Run Northumberland Castles Marathon,69,69,69,69,69,69,69,69,69,69,69
221501,Abbeycroft Leisure Marathon,74,74,74,74,74,74,74,74,74,74,74
221509,Dartmoor Vale Marathon,110,110,110,110,110,110,110,110,110,110,110
225489,Nottingham Christmas Marathon,218,218,218,218,218,218,218,218,218,218,218
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
228835,Gloucester Winter Marathon,240,240,240,240,240,240,240,240,240,240,240
234297,Nottingham Christmas Marathon,200,200,200,200,200,200,200,200,200,200,200
234714,Wrexham Marathon Festival Marathon,182,182,182,182,182,182,182,182,182,182,182
237155,Scorcher Run Festival (Day 1),19,19,19,19,19,19,19,19,19,19,19
237156,Scorcher Run Festival  (Day 2),15,15,15,15,15,15,15,15,15,15,15
237157,Scorcher Run Festival (Day 3),13,13,13,13,13,13,13,13,13,13,13
237158,Scorcher Run Festival (Day 4),15,15,15,15,15,15,15,15,15,15,15
237159,Scorcher Run Festival (Day 5),13,13,13,13,13,13,13,13,13,13,13
237160,Scorcher Run Festival (Day 6),20,20,20,20,20,20,20,20,20,20,20
237161,Scorcher Run Festival (Day 7),21,21,21,21,21,21,21,21,21,21,21
238568,UCLan Preston Half Marathon / Marathon (Day 2),31,31,31,31,31,31,31,31,31,31,31
238569,UCLan Preston Half Marathon / Marathon (Day 1),24,24,24,24,24,24,24,24,24,24,24
240005,Asics Windermere Marathon,837,837,837,837,837,837,837,837,837,837,837
240012,Rotary Shakespeare Marathon,486,486,486,486,486,486,486,486,486,486,486
,,,,,,,,,,,,
,,,,,,,,,,,,
241658,MK Marathon Weekend Marathon,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
241707,Exeter 10K / Marathon,303,303,303,303,303,303,303,303,303,303,303
241765,Boddington 10K / Marathon / 50K,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,
242376,Run Hereford Marathon,64,64,64,64,64,64,64,64,64,64,64
242678,Worcester Marathon,148,148,148,148,148,148,148,148,148,148,148
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
245727,St Magnus 10K / Marathon,58,58,58,58,58,58,58,58,58,58,58
247094,Stoke on Trent Festival of Running Marathon,131,131,131,131,131,131,131,131,131,131,131
247912,Twilight Half Marathon / Marathon / 50K,27,27,27,27,27,27,27,27,27,27,27
250057,Guernsey Marathon,116,116,116,116,116,116,116,116,116,116,116
251520,Isle of Man Marathon,89,89,89,89,89,89,89,89,89,89,89
254401,Armagh City Marathon,86,86,86,86,86,86,86,86,86,86,86
256522,Standard Chartered Jersey Marathon,393,393,393,393,393,393,393,393,393,393,393
257801,Isle of Wight Marathon,133,133,133,133,133,133,133,133,133,133,133
257819,Run Scotland Loch Rannoch Marathon,109,109,109,109,109,109,109,109,109,109,109
,,,,,,,,,,,,
258714,Run Northumberland Castles Marathon,36,36,36,36,36,36,36,36,36,36,36
259792,Dartmoor Vale Marathon,87,87,87,87,87,87,87,87,87,87,87
260836,Running Grand Prix Bedford Marathon,52,52,52,52,52,52,52,52,52,52,52
260976,Asda Foundation Yorkshire Marathon,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
,,,,,,,,,,,,
,,,,,,,,,,,,
269724,Running Grand Prix Marathon,102,102,102,102,102,102,102,102,102,102,102
