bin,xval,yval,dx,race_type
139,51.48636,0.87387,0.20605,10K
140,51.6924,0.87799,0.20605,10K
141,51.89845,0.88245,0.20605,10K
142,52.1045,0.88624,0.20605,10K
143,52.31055,0.8903,0.20605,10K
144,52.51659,0.89567,0.20605,10K
145,52.72264,0.89953,0.20605,10K
146,52.92869,0.90333,0.20605,10K
147,53.13473,0.90758,0.20605,10K
148,53.34078,0.91144,0.20605,10K
149,53.54683,0.91478,0.20605,10K
150,53.75288,0.91786,0.20605,10K
151,53.95892,0.92087,0.20605,10K
152,54.16497,0.92519,0.20605,10K
153,54.37102,0.9282,0.20605,10K
154,54.57707,0.93173,0.20605,10K
155,54.78311,0.93402,0.20605,10K
156,54.98916,0.93697,0.20605,10K
157,55.19521,0.93965,0.20605,10K
158,55.40126,0.94227,0.20605,10K
159,55.6073,0.94535,0.20605,10K
160,55.81335,0.9481,0.20605,10K
161,56.0194,0.95078,0.20605,10K
162,56.22544,0.9534,0.20605,10K
163,56.43149,0.9551,0.20605,10K
164,56.63754,0.95778,0.20605,10K
165,56.84359,0.96001,0.20605,10K
166,57.04963,0.9621,0.20605,10K
167,57.25568,0.96354,0.20605,10K
168,57.46173,0.96511,0.20605,10K
169,57.66778,0.96714,0.20605,10K
170,57.87382,0.96917,0.20605,10K
171,58.07987,0.97127,0.20605,10K
172,58.28592,0.97303,0.20605,10K
173,58.49196,0.97434,0.20605,10K
174,58.69801,0.97683,0.20605,10K
175,58.90406,0.97879,0.20605,10K
176,59.11011,0.98023,0.20605,10K
177,59.31615,0.98226,0.20605,10K
178,59.5222,0.98364,0.20605,10K
179,59.72825,0.98527,0.20605,10K
180,59.9343,0.98619,0.20605,10K
181,60.14034,0.9875,0.20605,10K
182,60.34639,0.98861,0.20605,10K
183,60.55244,0.98985,0.20605,10K
184,60.75848,0.99123,0.20605,10K
185,60.96453,0.99221,0.20605,10K
186,61.17058,0.993,0.20605,10K
187,61.37663,0.99437,0.20605,10K
188,61.58267,1,0.20605,10K
0,77.24389,0,1.06129,Mar
1,78.30518,1E-05,1.06129,Mar
2,79.36648,7E-05,1.06129,Mar
3,80.42777,0.00011,1.06129,Mar
4,81.48907,0.00015,1.06129,Mar
5,82.55036,0.00015,1.06129,Mar
6,83.61166,0.00015,1.06129,Mar
7,84.67295,0.00019,1.06129,Mar
8,85.73425,0.0002,1.06129,Mar
9,86.79554,0.0003,1.06129,Mar
10,87.85684,0.0003,1.06129,Mar
11,88.91813,0.00031,1.06129,Mar
12,89.97943,0.00035,1.06129,Mar
13,91.04072,0.00037,1.06129,Mar
14,92.10201,0.00042,1.06129,Mar
15,93.16331,0.00046,1.06129,Mar
16,94.2246,0.00052,1.06129,Mar
17,95.2859,0.00056,1.06129,Mar
18,96.34719,0.00057,1.06129,Mar
19,97.40849,0.00068,1.06129,Mar
20,98.46978,0.00073,1.06129,Mar
21,99.53108,0.00086,1.06129,Mar
22,100.59237,0.00102,1.06129,Mar
23,101.65367,0.00131,1.06129,Mar
24,102.71496,0.00156,1.06129,Mar
25,103.77626,0.00193,1.06129,Mar
26,104.83755,0.00237,1.06129,Mar
27,105.89885,0.0029,1.06129,Mar
28,106.96014,0.00343,1.06129,Mar
29,108.02144,0.0039,1.06129,Mar
30,109.08273,0.00446,1.06129,Mar
31,110.14403,0.00515,1.06129,Mar
32,111.20532,0.006,1.06129,Mar
33,112.26661,0.00698,1.06129,Mar
34,113.32791,0.00802,1.06129,Mar
35,114.3892,0.00918,1.06129,Mar
36,115.4505,0.01034,1.06129,Mar
37,116.51179,0.01159,1.06129,Mar
38,117.57309,0.01301,1.06129,Mar
39,118.63438,0.01444,1.06129,Mar
40,119.69568,0.01596,1.06129,Mar
41,120.75697,0.01788,1.06129,Mar
42,121.81827,0.0197,1.06129,Mar
43,122.87956,0.0218,1.06129,Mar
44,123.94086,0.02414,1.06129,Mar
45,125.00215,0.02671,1.06129,Mar
46,126.06345,0.02979,1.06129,Mar
47,127.12474,0.03262,1.06129,Mar
48,128.18604,0.03604,1.06129,Mar
49,129.24733,0.03949,1.06129,Mar
50,130.30863,0.04367,1.06129,Mar
51,131.36992,0.04833,1.06129,Mar
52,132.43122,0.05297,1.06129,Mar
53,133.49251,0.05755,1.06129,Mar
54,134.5538,0.06171,1.06129,Mar
55,135.6151,0.06722,1.06129,Mar
56,136.67639,0.07292,1.06129,Mar
57,137.73769,0.07985,1.06129,Mar
58,138.79898,0.08652,1.06129,Mar
59,139.86028,0.09355,1.06129,Mar
60,140.92157,0.10088,1.06129,Mar
61,141.98287,0.10846,1.06129,Mar
62,143.04416,0.11617,1.06129,Mar
63,144.10546,0.12478,1.06129,Mar
64,145.16675,0.13374,1.06129,Mar
65,146.22805,0.14284,1.06129,Mar
66,147.28934,0.15176,1.06129,Mar
67,148.35064,0.16112,1.06129,Mar
68,149.41193,0.17094,1.06129,Mar
69,150.47323,0.18184,1.06129,Mar
70,151.53452,0.19214,1.06129,Mar
71,152.59582,0.20398,1.06129,Mar
72,153.65711,0.21576,1.06129,Mar
73,154.71841,0.22813,1.06129,Mar
74,155.7797,0.24158,1.06129,Mar
75,156.84099,0.25564,1.06129,Mar
76,157.90229,0.26915,1.06129,Mar
77,158.96358,0.28277,1.06129,Mar
78,160.02488,0.2972,1.06129,Mar
79,161.08617,0.31209,1.06129,Mar
80,162.14747,0.32795,1.06129,Mar
