meeting_id,sex,age_group,race_title,min_time
223524,2,6,10K,48.06666666666667
223524,2,5,10K,34.43333333333333
223524,2,7,10K,49.849999999999994
223524,2,8,10K,49.43333333333333
223524,2,9,10K,45.66666666666666
223524,2,10,10K,56.05833333333334
223524,2,11,10K,46.96666666666666
223524,2,12,10K,52.26666666666666
223524,2,13,10K,57.68333333333333
223524,2,14,10K,55.08333333333333
223524,2,15,10K,62.43333333333333
223524,1,6,10K,57.58333333333333
223524,1,7,10K,48.2
223524,1,8,10K,60.76666666666666
223524,1,9,10K,49.6
223524,1,10,10K,62.16666666666666
223524,1,12,10K,62.208333333333336
223524,1,14,10K,57.81666666666667
223537,2,6,10K,50.73333333333333
223537,2,3,10K,36.46666666666667
223537,2,4,10K,42.333333333333336
223537,2,5,10K,46.61666666666667
223537,2,7,10K,39.6
223537,2,8,10K,52.425
223537,2,9,10K,56.11666666666666
223537,2,10,10K,55.44166666666667
223537,2,11,10K,51.28333333333333
223537,2,12,10K,52.45
223537,2,14,10K,46.55
223537,2,15,10K,54.96666666666667
223537,1,6,10K,59.31666666666666
223537,1,3,10K,38.91666666666666
223537,1,4,10K,65.36666666666666
223537,1,7,10K,45.09166666666667
223537,1,8,10K,62.45
223537,1,9,10K,53.65
223537,1,10,10K,65.975
223537,1,11,10K,54.45
223537,1,12,10K,65.48333333333333
223537,1,13,10K,93.91666666666669
223538,2,6,10K,49.53333333333333
223538,2,7,10K,41.71666666666667
223538,2,8,10K,52.1
223538,2,9,10K,63.15
223538,2,10,10K,51.03333333333333
223538,2,11,10K,49.18333333333333
223538,2,12,10K,60.71666666666666
223538,1,6,10K,60.4
223538,1,7,10K,52.38333333333333
223538,1,8,10K,61.108333333333334
223538,1,9,10K,71.31666666666666
223538,1,10,10K,61.775
223538,1,11,10K,47.88333333333334
223538,1,12,10K,63.55
223538,1,13,10K,91.6
232067,2,6,10K,40.825
232067,2,7,10K,40.641666666666666
232067,2,8,10K,37.016666666666666
232067,2,9,10K,36.7
232067,2,10,10K,45.50833333333333
232067,2,11,10K,48.81666666666667
232067,2,12,10K,54.583333333333336
